label,model,approach,X,Y,l,W,D,cost,success_rate,mean_latency,median_latency,max_latency,p95_latency,mean_proc_energy,mean_comm_energy,total_energy,ocri_time,lia_avg_time
extra-small,alexnet,Constella,1,1,1,1264484352,294912,5.0,1.0000,2378.83,2378.83,2850.47,2802.83,0.020611,2.916680,2.937291,0.004564,0.000000402
extra-small,alexnet,Naive,8,2,12,2576587392,1384448,34.0,0.7200,3811.31,4739.84,6300.00,6300.00,0.005250,4.929189,9.900376,0.000000,0.000000000
extra-small,alexnet,Traditional,8,0,0,0,602112,32.0,0.7500,4231.49,4385.30,6300.00,6300.00,1.302632,0.000000,10.421053,0.000000,0.000000000
small,squeezenet1_0,Constella,1,1,63,3868243840,32000,5.0,1.0000,2886.38,2506.82,6014.64,5765.92,0.505150,1.487456,1.992606,0.004730,0.000000390
small,squeezenet1_0,Naive,40,10,34,1704546624,8957952,170.0,0.1000,6021.96,6300.00,6313.66,6300.00,0.003473,4.429707,44.435993,0.000000,0.000000000
small,squeezenet1_0,Traditional,40,0,0,0,602112,160.0,0.6240,4495.17,4988.19,6300.00,6300.00,1.208842,0.000000,48.353688,0.000000,0.000000000
medium,resnet50,Constella,3,32,88,24561439488,1605632,44.0,0.8690,1541.35,990.69,6300.00,6300.00,1.297139,4.312331,141.886013,0.016262,0.000004269
medium,resnet50,Naive,400,100,92,24664205056,6422528,1700.0,0.7000,4129.75,4549.17,6329.13,6300.00,0.010051,4.446316,448.651879,0.000000,0.000000000
medium,resnet50,Traditional,400,0,0,0,602112,1600.0,1.0000,3518.16,3527.05,6000.96,5800.60,0.297744,0.000000,119.097754,0.000000,0.000000000
large,swin_b,Constella,20,3,311,7652622304,32000,83.0,0.8192,3105.27,2638.28,6300.00,6300.00,1.401169,4.997219,43.015031,0.017628,0.000000507
large,swin_b,Naive,4000,1000,156,4716623504,3211264,17000.0,1.0000,3386.56,3525.69,6343.76,6005.61,0.001922,3.175940,3183.628192,0.000000,0.000000000
large,swin_b,Traditional,4000,0,0,0,602112,16000.0,1.0000,3517.47,3526.85,6000.96,5798.20,0.297744,0.000000,1190.977536,0.000000,0.000000000
extra-large,efficientnet_b0,Constella,197,0,74,10452949924,4608,788.0,1.0000,3451.55,3451.67,6001.63,5745.80,1.079797,0.000000,212.720106,0.022532,0.000000000
extra-large,efficientnet_b0,Naive,8000,2000,165,11085261704,3010560,34000.0,0.3200,5305.64,6300.00,6374.83,6300.00,0.022586,4.763910,9708.510054,0.000000,0.000000000
extra-large,efficientnet_b0,Traditional,8000,0,0,0,602112,32000.0,0.6269,4494.15,4966.47,6300.00,6300.00,1.211008,0.000000,9688.066315,0.000000,0.000000000
